nama,alamat_lengkap,alamat,area,keyword_sumber,latitude,longitude,jumlah_review,telepon,website,jam_buka,harga,tipe,deskripsi,reviews,reviewer_name,rating,place_id
Ginger Flower,"Jl. Pecenongan Raya No.7-17, RT.1/RW.4, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120, Indonesia","Jl. Pecenongan Raya No.7-17, RT.1/RW.4, Kb. Klp., Kota Jakarta Pusat",Gambir,restoran,-6.165785700000001,106.8263029,336.0,0811-9007-1107,https://movenpick.accor.com/en/asia/indonesia/jakarta/movenpick-hotel-jakarta-city-centre/restaurants/ginger-flower.html,Senin: 06.00–22.00 | Selasa: 06.00–22.00 | Rabu: 06.00–22.00 | Kamis: 06.00–22.00 | Jumat: 06.00–22.00 | Sabtu: 06.00–22.00 | Minggu: 06.00–22.00,,"restaurant, food, point_of_interest, establishment",,"Saya makan di Ginger Flower di dalam Mövenpick Pecenongan dan dari awal masuk suasananya langsung terasa mewah dan rapi. Interiornya elegan dengan pencahayaan yang hangat dan meja kursi yang tertata sangat nyaman. Tempatnya luas dan bersih sehingga suasana makannya terasa tenang meski hotel berada di tengah kota.  Menu di Ginger Flower banyak mengambil inspirasi dari masakan Indonesia dan Asia. Pilihan makanannya beragam mulai dari hidangan Nusantara seperti sate, sop, nasi goreng, bubur dan aneka lauk rumahan yang dibawa dengan sentuhan modern. Ada juga pilihan menu Asia lain yang tampilannya rapi dan porsinya pas. Untuk buffet harga yang saya ingat sekitar 688K++ dan menariknya harga tersebut belum termasuk kopi yang harus dipesan terpisah.  Hidangannya terasa enak dan kualitas makanannya sesuai dengan standar hotel bintang tinggi. Rasa masakannya tidak berlebihan tetapi tetap kuat bumbunya. Beberapa hidangan disajikan hangat dan aromanya langsung menggugah selera. Tempatnya sendiri membuat pengalaman makan jauh lebih nyaman. Udara dingin pencahayaan cantik dan suasana tenang benar benar bikin makan terasa santai.  Stafnya ramah dan cukup perhatian. Pelayanannya rapi tanpa terlalu mengganggu. Walaupun saya hanya mampir untuk makan tanpa menginap suasana hotelnya sudah terasa premium.  Secara keseluruhan Ginger Flower cocok untuk yang ingin menikmati makanan Indonesia dan Asia dengan suasana restoran hotel yang elegan dan nyaman. Harganya memang premium tetapi pengalaman dan kualitas makanannya sepadan.",BMA,5,ChIJhVhzMAD1aS4RPPm9ItcTZvQ
Ginger Flower,"Jl. Pecenongan Raya No.7-17, RT.1/RW.4, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120, Indonesia","Jl. Pecenongan Raya No.7-17, RT.1/RW.4, Kb. Klp., Kota Jakarta Pusat",Gambir,restoran,-6.165785700000001,106.8263029,336.0,0811-9007-1107,https://movenpick.accor.com/en/asia/indonesia/jakarta/movenpick-hotel-jakarta-city-centre/restaurants/ginger-flower.html,Senin: 06.00–22.00 | Selasa: 06.00–22.00 | Rabu: 06.00–22.00 | Kamis: 06.00–22.00 | Jumat: 06.00–22.00 | Sabtu: 06.00–22.00 | Minggu: 06.00–22.00,,"restaurant, food, point_of_interest, establishment",,"Saat weekend pengen makan buffet bersama keluarga, setelah lihat2 review akhirnya kita pilih untuk makan di resto Ginger Flower yang terletak di Movenpick Hotel.  Makanannya bermacam2 dan ENAK. Pilihannya walau jumlahnya nggak banyak banget, tapi ENAK SEMUA.  Seafood dan salad-nya fresh banget, kemudian ada keju2an dan daging dingin yang enak.  Ada juga daging wagyu dan lamb yg cita rasanya lezat.  Pokoknya, kalau kesini ambilnya dikit2 aja dlu, supaya perut must Cobain semua rasa makanan yg enak2  semua.",Happy Jalan & Makan,5,ChIJhVhzMAD1aS4RPPm9ItcTZvQ
Ginger Flower,"Jl. Pecenongan Raya No.7-17, RT.1/RW.4, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120, Indonesia","Jl. Pecenongan Raya No.7-17, RT.1/RW.4, Kb. Klp., Kota Jakarta Pusat",Gambir,restoran,-6.165785700000001,106.8263029,336.0,0811-9007-1107,https://movenpick.accor.com/en/asia/indonesia/jakarta/movenpick-hotel-jakarta-city-centre/restaurants/ginger-flower.html,Senin: 06.00–22.00 | Selasa: 06.00–22.00 | Rabu: 06.00–22.00 | Kamis: 06.00–22.00 | Jumat: 06.00–22.00 | Sabtu: 06.00–22.00 | Minggu: 06.00–22.00,,"restaurant, food, point_of_interest, establishment",,"Moment iftar ramadan yg ga terlupakan; Semua makanannya enak enak, ga ada yg gagal aseli 10/10. Servicenya ok bangeeett!! Cozy ambience, dijamin nyaman & bikin pengen balik lagi. Cus cobain guys!!",Putri Sugiarti,5,ChIJhVhzMAD1aS4RPPm9ItcTZvQ
Ginger Flower,"Jl. Pecenongan Raya No.7-17, RT.1/RW.4, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120, Indonesia","Jl. Pecenongan Raya No.7-17, RT.1/RW.4, Kb. Klp., Kota Jakarta Pusat",Gambir,restoran,-6.165785700000001,106.8263029,336.0,0811-9007-1107,https://movenpick.accor.com/en/asia/indonesia/jakarta/movenpick-hotel-jakarta-city-centre/restaurants/ginger-flower.html,Senin: 06.00–22.00 | Selasa: 06.00–22.00 | Rabu: 06.00–22.00 | Kamis: 06.00–22.00 | Jumat: 06.00–22.00 | Sabtu: 06.00–22.00 | Minggu: 06.00–22.00,,"restaurant, food, point_of_interest, establishment",,"Definisi kepuasan! Tempat mewah, makanan enak dan pelayanan dri mas ridho dan mba lisa luar biasa .bakal balik lagi kesini untuk booking 50 orang. Semuany bintang 5",susanty halim,5,ChIJhVhzMAD1aS4RPPm9ItcTZvQ
Ginger Flower,"Jl. Pecenongan Raya No.7-17, RT.1/RW.4, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120, Indonesia","Jl. Pecenongan Raya No.7-17, RT.1/RW.4, Kb. Klp., Kota Jakarta Pusat",Gambir,restoran,-6.165785700000001,106.8263029,336.0,0811-9007-1107,https://movenpick.accor.com/en/asia/indonesia/jakarta/movenpick-hotel-jakarta-city-centre/restaurants/ginger-flower.html,Senin: 06.00–22.00 | Selasa: 06.00–22.00 | Rabu: 06.00–22.00 | Kamis: 06.00–22.00 | Jumat: 06.00–22.00 | Sabtu: 06.00–22.00 | Minggu: 06.00–22.00,,"restaurant, food, point_of_interest, establishment",,"Pengalaman yg bagus bersantap direstoran ini, makanan semua enak pelayan dari mas ridho dan mba Lisa sangat luar bisaaa",Helen M Waluyo,5,ChIJhVhzMAD1aS4RPPm9ItcTZvQ
Pondok Laguna,"Jl. Batu Tulis Raya No.45, RT.3/RW.2, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120, Indonesia","Jl. Batu Tulis Raya No.45, RT.3/RW.2, Kb. Klp., Kota Jakarta Pusat",Gambir,restoran,-6.1627084,106.8253057,8282.0,(021) 3459991,http://wa.me/6281314990612,Senin: 11.00–21.00 | Selasa: 11.00–21.00 | Rabu: 11.00–21.00 | Kamis: 11.00–21.00 | Jumat: 11.00–21.00 | Sabtu: 11.00–21.00 | Minggu: 11.00–21.00,Sedang ($$),"restaurant, food, point_of_interest, establishment",Ruang makan trendi dan luas yang populer dengan berbagai hidangan seafood mewah dan masakan klasik.,"Ini resto legend sepanjang masa. Tahu kipas nya tidak Ada dua nya. Gulai Kepala ikan nya enak,  tidak amis sama sekali. Their taste is still the same like old times.",Shelly Lim,5,ChIJDcZ_3dv1aS4RXw5RNzXttYA
Pondok Laguna,"Jl. Batu Tulis Raya No.45, RT.3/RW.2, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120, Indonesia","Jl. Batu Tulis Raya No.45, RT.3/RW.2, Kb. Klp., Kota Jakarta Pusat",Gambir,restoran,-6.1627084,106.8253057,8282.0,(021) 3459991,http://wa.me/6281314990612,Senin: 11.00–21.00 | Selasa: 11.00–21.00 | Rabu: 11.00–21.00 | Kamis: 11.00–21.00 | Jumat: 11.00–21.00 | Sabtu: 11.00–21.00 | Minggu: 11.00–21.00,Sedang ($$),"restaurant, food, point_of_interest, establishment",Ruang makan trendi dan luas yang populer dengan berbagai hidangan seafood mewah dan masakan klasik.,"Gulai kepala ikan kakap mantab 👍🏻👍🏻  Yes, kalo mau makan seafood juga rekomendasi di Resto Pondok Laguna ini.  Kami mampir pas makan siang di hari Minggu dan kondisi hujan. Parkiran mobil di pinggir jalan raya tapi dipayungin sampai resto.  Ruangan sangat luas. Tanpa AC tapi adem krn restonya udara terbuka.  Kita ditawarin buah jambu medan tapi baunya udah basi dan akhirnya kita tukar.  Tapi utk menu utama Gulai kepala kakap, gurame asam manis, udang pancet bakar, cumi goreng tepung, tahu kipas, pakis tumis, taoge cah ikan asin OK SEMUA!  Es campur, es jeruk, ice cream jg OK.  Menu tidak ada harga. Jadi kira2 aja ya. 😊",Apik APIQUE,5,ChIJDcZ_3dv1aS4RXw5RNzXttYA
Pondok Laguna,"Jl. Batu Tulis Raya No.45, RT.3/RW.2, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120, Indonesia","Jl. Batu Tulis Raya No.45, RT.3/RW.2, Kb. Klp., Kota Jakarta Pusat",Gambir,restoran,-6.1627084,106.8253057,8282.0,(021) 3459991,http://wa.me/6281314990612,Senin: 11.00–21.00 | Selasa: 11.00–21.00 | Rabu: 11.00–21.00 | Kamis: 11.00–21.00 | Jumat: 11.00–21.00 | Sabtu: 11.00–21.00 | Minggu: 11.00–21.00,Sedang ($$),"restaurant, food, point_of_interest, establishment",Ruang makan trendi dan luas yang populer dengan berbagai hidangan seafood mewah dan masakan klasik.,"Menang nama aja Pondok Laguna ini. Sehabis makan Kepiting Saus Lada Hitamnya saya gatal2 sekujur tubuh. Sepertinya Kepitingnya gk fresh. Saya hanya makan Kepiting dan Ikan Gurame Bakar. Jd kemungkinan gatalnya dr kepiting. Pd hal saya gk ada alergi seafood. Pelayanannya sgt mengecewakan. Pelayannya kurang sigap dan suka mencuekin permintaan pelanggan. Pertama saat tamu saya yang orang luar negeri meminta sarung tangan. Saya sampai harus minta 3x dgn 3 org pelayan, baru dibawakan sarung tangan. Pd hal resto sdh gk gitu rame. Sdh jam 9an malam diruang AC lantai 2 yg ACnya gk dingin sama sekali. Menunya gk mencantumkan harga. Saat byr baru kaget klo harga kepiting lada hitamnya mahal bgt. Oklah klo Kepiting nya mahal seporsi 750k dgn kualitas yg enak. Tp lagi2 kepitingnya sulit dimakan krn dagingnya kering digoreng dulu sblm dimasak dgn lada hitam yg kelewat pedas. Tamu luar negeri saya sampe diare dan saya gatal2 sekujur tubuh sehabis makan kepiting lada hitamnya. Butuh effort bgt makan kepiting lada hitam dimari. Daging2nya kering hingga sgt sulit dilepas dr cangkangnya. Cm asin dan pedas aja. Gk enak sama sekali. Daging kepitingnya hambar tp bumbunya gk meresap. Bumbunya asin bgt dan pedes bgt. Byr mahal malah gk enak. Yang enak cm ikan bakar Guramenya dan Udang Saus Telur Asin. Nasi putih utk porsi 3 orang jg sgt dikit, gk cukup utk makan 3 org. Kelapa batoknya jg asem bukannya manis. Tamu saya sgt kecewa dan saya sangat malu merekomendasikan Pondok Laguna ke mereka. Total 3 org makan habis 1,3jtan dan kecewa. Gk enak, mahal dan pelayanannya 👎",John The Explorer,1,ChIJDcZ_3dv1aS4RXw5RNzXttYA
Pondok Laguna,"Jl. Batu Tulis Raya No.45, RT.3/RW.2, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120, Indonesia","Jl. Batu Tulis Raya No.45, RT.3/RW.2, Kb. Klp., Kota Jakarta Pusat",Gambir,restoran,-6.1627084,106.8253057,8282.0,(021) 3459991,http://wa.me/6281314990612,Senin: 11.00–21.00 | Selasa: 11.00–21.00 | Rabu: 11.00–21.00 | Kamis: 11.00–21.00 | Jumat: 11.00–21.00 | Sabtu: 11.00–21.00 | Minggu: 11.00–21.00,Sedang ($$),"restaurant, food, point_of_interest, establishment",Ruang makan trendi dan luas yang populer dengan berbagai hidangan seafood mewah dan masakan klasik.,Resto yg ga pernah aku skip kalo lagi didaerah ini huhu.. menunya ga ada dua uda bener rekomend banget yg mau makan.. jangan pas weekend or lunch yaa soalny padat banget mungkin bakalan nggu antri lama hehe.. kebetulan terakhir dteng las weekend jd agak padat dan tunggu lama.. makanan enak no komen yaa.. staf ramah dan pelayanan oke,Rum,5,ChIJDcZ_3dv1aS4RXw5RNzXttYA
Pondok Laguna,"Jl. Batu Tulis Raya No.45, RT.3/RW.2, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120, Indonesia","Jl. Batu Tulis Raya No.45, RT.3/RW.2, Kb. Klp., Kota Jakarta Pusat",Gambir,restoran,-6.1627084,106.8253057,8282.0,(021) 3459991,http://wa.me/6281314990612,Senin: 11.00–21.00 | Selasa: 11.00–21.00 | Rabu: 11.00–21.00 | Kamis: 11.00–21.00 | Jumat: 11.00–21.00 | Sabtu: 11.00–21.00 | Minggu: 11.00–21.00,Sedang ($$),"restaurant, food, point_of_interest, establishment",Ruang makan trendi dan luas yang populer dengan berbagai hidangan seafood mewah dan masakan klasik.,"Makanannya oke, tapi sebenernya masih bisa di improve, kyk pesen cumi saos padang, bisa lebih pedes. Tapi ada satu menu yang enak Tahu Isinya enak pollll, isinya udang dan sayuran, udangnya banyak dan gak pelit. Ayam Bakarnya juga enak, tipe ayam bakar yang berbumbu banget, overall rasanya enak dan tempatnya enak, luas dan ada kolam ikan dan air terjun kecil",Ninabelle Nathania,5,ChIJDcZ_3dv1aS4RXw5RNzXttYA
Chinesefood 99 Pecenongan,"Raya No Jl. Pecenongan No.48B 1, RT.1/RW.4, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120, Indonesia","Raya No Jl. Pecenongan No.48B 1, RT.1/RW.4, Kb. Klp., Kota Jakarta Pusat",Gambir,restoran,-6.1651811,106.8266815,687.0,0818-833-222,,Senin: 16.00–00.30 | Selasa: 16.00–00.30 | Rabu: 16.00–00.30 | Kamis: 16.00–00.30 | Jumat: 16.00–00.30 | Sabtu: 16.00–00.30 | Minggu: 16.00–00.30,Sedang ($$),"restaurant, food, point_of_interest, establishment",,"Makanannya ok cm utk ukuran chinese food bihun gorengnya krg smoky, dan krn no cooking wine jd nampol wanginya. order Bihun Goreng Ayam, Ayam Grg mentega, Capcay Grg Ayam, Puyunghai Kepiting. cuma koment utk Puyunghainya kg ada kepitingnya adonannya lebih mirip bakwan jagung  rasanya krn manis (krg suka sih puyunghainya). tp utk harga ok 4 menu + 3 nasi + 2 teh gak sampai 250rb",Devi Carolina,3,ChIJFc_iidr1aS4RlAfIDlCkoas
