nama,area,rating,deskripsi,reviews,place_id,sentiment
Ayam Blenger PSP x Dailybox Meruya Selatan,Kembangan,2.0,,"tempatnya kurang bersih untuk sebuah rumah makan. terkesan dekil dan bau sepeeti bangkai tikus.🥲 pesen ayam geprek sambal matah. sambalnya dikit amat, liat di foto. kulit ayam jg ga fresh, sepertinya udah lama dan ga renyah...🙃🫠 semoga ada perbaikan dr tempat dan makanannya.",ChIJLW1PrU_3aS4R3_ycA2AYmXY,negative
Good Morning Cafe - Taman Palem Lestari,Cengkareng,5.0,,"Aku makan disini order Chiken salted egg, loaded potato n chiken wing nya, enak semua, rasa gurih nya pas, tempat bersih dan adem. Balik lg sih ini 👍",ChIJ62wkSAYDai4RuSN_D9Jq4rY,positive
Warung Makan Dhoni,Cakung,4.0,,Jarang banget lho ada warung nasi rames gini yang pakai ayam kampung dan rasanya juga istimewa banget dengan harga yang nggak mahal,ChIJoYlofUWLaS4RfUhUb1mYX6g,positive
Chinese Food KTT,Jatinegara,5.0,,"Porsi nasi per orang pas, nggak terlalu banyak atau terlalu sedikit; sapo tahunya enak, agak smoky, gurih, dan banyak porsinya; cumi goreng tepungnya enak, kriuk dan tepungnya ada rasa gurihnya. Tempat makan bersih dan cukup nyaman👌🏼",ChIJI9lJU3_zaS4RPII481Bu05w,positive
Warung Taliwang Mubarok,Palmerah,5.0,,"Dagingnya banyak, santannya kental, gurihnya mantabbhhh...",ChIJPxpTR5X2aS4Ry9lESvzVFmE,positive
Eatlah,Tanah Abang,1.0,Kedai makan di plaza yang menyajikan masakan khas Taiwan dalam suasana simpel dengan tempat duduk terbatas.,Kasir nya main hp Mulu dan jutek tidak sopan pesanan lama sekali dibuat nya MOHON DI PERBAIKI SERVICE NYA,ChIJAwBNQCH0aS4R7dtA1BF-eoI,negative
Kotta Kopi Kelapa Gading,Kelapa Gading,4.0,,"Salah satu coffeeshop dengan vibes yang nyaman, cocok untuk kerja, ngumpul bareng ataupun sendirian. Lokasinya tidak jauh dari Statius LRT Pegangsaan dua, persis sebelahan dengan Alfamart.  Variasi menu minuman dan makanannya tergolong enak dan cukup bervariasi, harga nya juga masih tergolong terjangkau untuk daerah Kelapa Gading. Mungkin kurangnya ada di ukuran gelasnya, cuman one size only.  Pelayanan cukup baik, beberapa pegawai sudah cukup friendly, tapi ada beberapa yang masih kurang friendly. Tapi overall okelah, msh bisa diterima pelayanannya.  Parkirannya sejauh ini gratis, toilet bersih dan untuk tempat duduk ada indoor dan outdoor.  Overall, worth to visit 4.3/5.0",ChIJiwo8oxr1aS4Rht2Ygp9iABg,neutral
Pandan Bistro,Penjaringan,4.0,Restoran kontemporer dengan interior mewah yang menyajikan seafood & hidangan klasik lokal yang nyaman.,"Order gulai kepala ikan, tahu kipas, tauge cah ikan asin, sapi sambal petai, udang telur asin.  Gulai kepala ikan, dagingnya lembut, gulainya enak. Tahu kipasnya jg enak. Udang telur asinnya B aja krn kurang berasa telur asinnya & ga creamy. Yg lainnya okee aja rasanya.  Harganya lumayan pricey & pelayanannya krn dateng pas jam makan siang jd agak keteteran, ada 1 menu yg kelupaan dianter.",ChIJOwn6dZYdai4RfoeGBSufhik,neutral
WARUNG MPO'SOFI PADEMANGAN,Ancol,5.0,,"makanannya enak harga murah 10.000 udah dapet paketan menu yang enak untuk makan,langganan banget",ChIJ8-v5o6wfai4RPKnfoxMnnVk,positive
Sana Sini Restaurant,Menteng,5.0,"Tempat makan berkonsep prasmanan yang menyajikan menu Eropa dan Asia, serta koleksi wine dari Vinoteca.","Resto di hotel Pullman dengan menu makan siang yang sangat lengkap menunya mulai makanan jepang, china, indonesia, western. Sebelum memutuskan makan apa perlu keliling dulu apa yang akan dimakan. Aneka salad lengkap, sushinya terus direfill, menu Indonesia ada sate dan rujak, menu china lengkap dengan aneka siomay, dessert ada gelato aneka rasa.",ChIJTWtJeiH0aS4RY6h3u6ESq9Q,positive
